Indicador,Valor_actual,Valor_anterior,Unidad,Referencia,fecha
PIB,267.6,246.49,Usd Millones,Dec 2023,17-05-2025
Tasa de crecimiento del PIB (anual),4.2,3.9,Por Ciento,Dec 2024,17-05-2025
Pib De Agricultura,8786.0,7989.0,Pen Millones,Dec 2024,17-05-2025
Pib De La Construcción,11186.0,9443.0,Pen Millones,Dec 2024,17-05-2025
Pib De Manufactura,18241.0,17020.0,Pen Millones,Dec 2024,17-05-2025
Pib De Minería,18579.0,18129.0,Pen Millones,Dec 2024,17-05-2025
Pib De La Administración Pública,9329.0,8424.0,Pen Millones,Dec 2024,17-05-2025
Pib De Servicios,17133.0,16153.0,Pen Millones,Dec 2024,17-05-2025
Pib De Transporte,7928.0,8018.0,Pen Millones,Dec 2024,17-05-2025
PIB de Servicios Basicos,2848.0,2794.0,Pen Millones,Dec 2024,17-05-2025
PIB - Tasa de crecimiento trimestral,1.3,0.4,Por Ciento,Dec 2024,17-05-2025
Tasa de crecimiento del PIB (anual),3.9,4.2,Por Ciento,Mar 2025,15-06-2025
Pib De Agricultura,7770.3,8880.95,Pen Millones,Mar 2025,15-06-2025
Pib De La Construcción,8017.93,10726.1,Pen Millones,Mar 2025,15-06-2025
Pib De Manufactura,16241.0,18241.31,Pen Millones,Mar 2025,15-06-2025
Pib De Minería,17344.36,18588.59,Pen Millones,Mar 2025,15-06-2025
Pib De La Administración Pública,8072.0,9329.0,Pen Millones,Mar 2025,15-06-2025
Pib De Servicios,14064.0,17133.0,Pen Millones,Mar 2025,15-06-2025
Pib De Transporte,7976.0,7928.0,Pen Millones,Mar 2025,15-06-2025
PIB de Servicios Basicos,2876.0,2850.0,Pen Millones,Mar 2025,15-06-2025
PIB - Tasa de crecimiento trimestral,0.6,1.2,Por Ciento,Mar 2025,15-06-2025
Tasa de crecimiento del PIB (anual),2.9,3.9,Por Ciento,Jun 2025,15-09-2025
Pib De Agricultura,11483.55,7693.2,Pen Millones,Jun 2025,15-09-2025
Pib De La Construcción,8853.21,8019.34,Pen Millones,Jun 2025,15-09-2025
Pib De Manufactura,18056.22,16288.26,Pen Millones,Jun 2025,15-09-2025
Pib De Minería,17279.16,17366.47,Pen Millones,Jun 2025,15-09-2025
Pib De La Administración Pública,8154.0,8072.0,Pen Millones,Jun 2025,15-09-2025
Pib De Servicios,16251.0,14064.0,Pen Millones,Jun 2025,15-09-2025
Pib De Transporte,8229.0,7976.0,Pen Millones,Jun 2025,15-09-2025
PIB de Servicios Basicos,2830.0,2876.0,Pen Millones,Jun 2025,15-09-2025
PIB - Tasa de crecimiento trimestral,0.5,0.3,Por Ciento,Jun 2025,15-09-2025
Tasa de crecimiento del PIB interanual,3.40,2.60,Por Ciento,Sep 2025,15-12-2025
Pib De Agricultura,8971.82,11602.93,Pen Millones,Sep 2025,15-12-2025
Pib De La Construcción,9914.27,8854.55,Pen Millones,Sep 2025,15-12-2025
Pib De Manufactura,17561.47,18082.23,Pen Millones,Sep 2025,15-12-2025
Pib De Minería,18920.44,17700.48,Pen Millones,Sep 2025,15-12-2025
Pib De La Administración Pública,8803.00,8159.00,Pen Millones,Sep 2025,15-12-2025
Pib De Servicios,16683.00,16216.00,Pen Millones,Sep 2025,15-12-2025
Pib De Transporte,8305.00,8222.00,Pen Millones,Sep 2025,15-12-2025
PIB de Servicios Basicos,2844.00,2832.00,Pen Millones,Sep 2025,15-12-2025
PIB - Tasa de crecimiento trimestral,1.20,0.40,Por Ciento,Sep 2025,15-12-2025
